INCOME,OTHER_INCOME,"received from,payment received,income payment,credit received"
INCOME,SALARY,"ostt ostt,ostt payment,salary payment"
INCOME,PERSONAL_TRANSFER,"jake holmes,jake bonds,personal transfer,friend transfer"
INCOME,REFUND,"experian uk,experian,refund,reimbursement,money back"

FOOD_DINING,RESTAURANTS,"greek grill,giggling squid,mannaeatin,rosebud,coates,poco,original oak,headingley taps,queens head"
FOOD_DINING,CAFES,"Card Payment to Portland Coffee,200 degrees,portland coffee co,avo,coffee,cafe,paul applegate"
FOOD_DINING,VENDING,"ltt vending,vending"

TRANSPORT,MICROMOBILITY,"superpedestrian,tier"
TRANSPORT,PUBLIC_TRANSPORT,"contactless.travel,nottingham contact"

SHOPPING,CLOTHING,"lounge underwear,hollister,new look,aybl"
SHOPPING,HEALTH_FITNESS,"protein works,proteinwor"
SHOPPING,ONLINE_RETAIL,"paypal,amazon,ebay"
SHOPPING,GIFTS,"moonpig"

ENTERTAINMENT,BARS_PUBS,"taps,oak,pub,bar,lounge,george green libra,your local,the griffin,griffin london"
ENTERTAINMENT,SOCIAL,"tier lounge"

DIGITAL_SERVICES,ADVERTISING,"facebook,meta"
DIGITAL_SERVICES,SUBSCRIPTIONS,"netflix,spotify,amazon prime,apple.com/bill,apple subscription,itunes,app store,int'l apple.com,apple.com"
DIGITAL_SERVICES,BEAUTY_SERVICES,"treatwell"

PERSONAL_CARE,BEAUTY,"lounge underwear,treatwell"
PERSONAL_CARE,GROOMING,"barber,salon,spa"

FEES,SERVICE_FEES,"service charge,processing fee,admin fee,service fee,card payment to,payment fee"
FEES,CARD_FEES,"card fee,foreign transaction fee,atm fee"
FEES,BANK_FEES,"account fee,overdraft fee,monthly fee,maintenance fee"

TRANSFERS,BANK_TRANSFER,"transfer,monzo,revolut,wise,faster payments"
TRANSFERS,INTERNAL_TRANSFER,"own account,savings transfer"

MISCELLANEOUS,UNEXPECTED,"emergency,unexpected expense,one-time cost,unplanned payment,one-off purchase"
MISCELLANEOUS,CASH,"atm withdrawal,cash withdrawal,cashpoint,cash machine,cash lts,hfx,halifax cash,cash lts1,biceste"
MISCELLANEOUS,FEES,"account fee,overdraft fee,foreign transaction fee,late payment fee,service charge,processing fee"

TRANSFERS,AUTOMATED_SAVINGS,"plum,moneybox,chip,nutmeg,wealthify,automated saving,investment app,automated investment"
